DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,PMI_Seg_SKU,PMI Total,SoM_PMI
Great Britain,Bristol,PMI,Regular,Full Flavor,SLI,KS,2,65077400,1.3
Serbia,Nis,PMI,Regular,Full Flavor,STD,KS,4,865400,1.1
South Korea,Jeju,PMI,Regular,Full Flavor,SSL,KS,1,70963200,0.4
Angola,Luanda,PMI,NTD Caps,Full Flavor,STD,KS,2,3420000,2.4
China,Ningbo Lishe,PMI,NTD Caps,Full Flavor,STD,KS,1,10725000,0.1
India,Anna,PMI,NTD Caps,Full Flavor,STD,KS,2,2950704,0.1
Mexico,Cancun,PMI,Menthol,Full Flavor,STD,KS,1,303564800,1.9
Brazil,Florianopolis,PMI,Menthol,Full Flavor,STD,KS,1,6089600,0.1
Burundi,Bujumbura,PMI,Regular,Full Flavor,SLI,KS,2,5447800,22.2
Macau,Macau,PMI,NTD Caps,Full Flavor,STD,KS,2,3628000,9.9
India,Netaji Subhash Chandra Bose Int. Airport,PMI,Regular,Full Flavor,SLI,KS,5,7036609,0.1
China,Yinchuan Hedong,PMI,Regular,Full Flavor,STD,KS,3,3765400,0
Bulgaria,Sofia,PMI,Regular,Full Flavor,SLI,KS,1,12644800,10.6
Greece,Zakynthos,PMI,Regular,Full Flavor,STD,KS,4,42091200,3.3
South Korea,Incheon,PMI,Menthol,Full Flavor,STD,KS,1,289165800,1.7
South Korea,Daegu (downtown),PMI,Menthol,Full Flavor,STD,KS,1,3080000,0
Qatar,Doha,PMI,Regular,Ultralights,STD,KS,1,763959600,4.3
China,Qingdao Liuting,PMI,Regular,Full Flavor,STD,KS,6,120428200,1.5
Taiwan,Taichung,PMI,Menthol Caps,Full Flavor,STD,KS,2,1179864,0.1
Denmark,Copenhagen,PMI,Regular,1mg,STD,KS,1,2740800,2.8
Turkey,Denizli Cardak Airport,PMI,Menthol Caps,Full Flavor,STD,KS,6,1100800,0
Malaysia,Johor Bahru,PMI,Menthol,Full Flavor,STD,KS,2,6169000,0.6
Brazil,Florianopolis,PMI,Regular,Full Flavor,SLI,KS,3,36846400,0.6
Denmark,Faroe Islands,PMI,Regular,1mg,STD,KS,1,160000,0.2
Greece,Corfu,PMI,Regular,Lights,STD,KS,1,119000,0
Colombia,Cartagena de Indias,PMI,Menthol,Full Flavor,STD,KS,2,12977800,0.3
Caribbean Other,Basseterre (Saint Kitts),PMI,Menthol,Full Flavor,STD,KS,1,492800,0.1
Brazil,Porto Alegre,PMI,NTD Caps,Full Flavor,STD,KS,1,509600,0
Oman,Salalah,PMI,Regular,Ultralights,STD,KS,1,43814600,1.1
France,Beauvais,PMI,Regular,Full Flavor,SLI,KS,2,19134400,0.2
South Korea,Muan,PMI,Menthol Caps,Full Flavor,STD,KS,2,218800,0
Russia,Astrakhan,PMI,Menthol,Full Flavor,STD,KS,1,185600,0
Spain,Barcelona,PMI,Regular,Full Flavor,SLI,KS,1,436998000,3.7
Japan,Fukushima,PMI,Regular,Full Flavor,STD,KS,1,159600,0
Mexico,Queretaro,PMI,Menthol Caps,Full Flavor,STD,KS,1,499800,0
Georgia,Batumi,PMI,Regular,Full Flavor,STD,KS,10,60416000,22.7
Colombia,Cartagena de Indias,PMI,Regular,Full Flavor,SLI,KS,3,115204000,2.7
India,Chattrapati Shivaji,PMI,NTD Caps,Full Flavor,STD,KS,5,488853196,10.4
Turkey,Samsun Airport,PMI,NTD Caps,Full Flavor,STD,KS,12,110275800,0.1
Poland,Poznan-Lawica,PMI,Regular,Full Flavor,STD,KS,9,655921600,5.5
Saudi Arabia,Jeddah,PMI,Regular,Full Flavor,STD,KS,11,964106800,23.6
China,Hangzhou Xiaoshan,PMI,Regular,Full Flavor,STD,KS,6,239020000,3
Spain,Reus,PMI,Regular,Full Flavor,SLI,KS,1,19583600,0.2
Brazil,Rio de Janeiro,PMI,Regular,Full Flavor,STD,KS,11,957845000,15.8
Jordan,Amman,PMI,Regular,Full Flavor,STD,KS,22,3017778800,39
Reunion,Roland Garros,PMI,Regular,Full Flavor,SLI,KS,2,1444146800,45.9
Jordan,Amman,PMI,Menthol Caps,Full Flavor,STD,KS,2,24726800,0.3
Italy,Ciampino Airport,PMI,Regular,Full Flavor,STD,KS,12,181907800,4.1
Saudi Arabia,Jeddah,PMI,NTD Caps,Full Flavor,STD,KS,4,4312600,0.1
New Zealand,Christchurch,PMI,Menthol Caps,Full Flavor,STD,KS,2,1362000,11.7
India,Anna,PMI,Regular,Full Flavor,SLI,KS,5,7036609,0.1
India,Jaipur,PMI,Regular,Full Flavor,STD,KS,10,17044054,0.4
Niger,Niamey,PMI,Regular,Full Flavor,STD,KS,7,21402000,100
Mexico,Los Cabos,PMI,Regular,Full Flavor,STD,KS,12,463610800,2.9
Turkey,Bodrum Airport,PMI,Menthol Caps,Full Flavor,STD,KS,6,39812800,0
China,Shenyang Taoxian,PMI,NTD Caps,Full Flavor,STD,KS,5,16387000,0.2
Barbados,Bridgetown,PMI,Regular,Full Flavor,STD,KS,14,502479345,69.6
Turkey,Konya Airport,PMI,Menthol Caps,Full Flavor,STD,KS,3,2749600,0
Poland,Elblag,PMI,Regular,Full Flavor,STD,KS,7,31569200,0.3
Turkey,Kutahya Airport,PMI,Menthol Caps,Full Flavor,STD,KS,2,642200,0
Japan,Shizuoka,PMI,Regular,Full Flavor,STD,KS,3,8469600,0.1
Bulgaria,Bourgas,PMI,Regular,Full Flavor,STD,KS,3,8002600,6.7
Indonesia,Soekarno Hatta,PMI,Menthol Caps,Full Flavor,STD,KS,3,5733400,3.6
China,Dalian Zhoushuizi,PMI,Menthol,Full Flavor,STD,KS,1,2939380,0
Turkey,Kayseri Airport,PMI,Regular,Full Flavor,SLI,KS,9,1007676800,0.6
Turkey,Antalya Gazipasa Airport,PMI,Menthol Caps,Full Flavor,STD,KS,2,12705000,0
Spain,Alicante,PMI,Regular,Full Flavor,SLI,KS,1,375825200,3.2
Italy,Florence,PMI,Regular,Full Flavor,STD,KS,10,51404600,1.2
Guatemala,Guatemala City,PMI,Regular,Full Flavor,SLI,KS,3,286883000,33.7
Indonesia,Soekarno Hatta,PMI,NTD Caps,Full Flavor,STD,KS,2,4215200,2.6
Uruguay,Montevideo,PMI,Regular,Full Flavor,STD,KS,2,14855200,99.9
Tunisia,Sfax,PMI,NTD Caps,Full Flavor,STD,KS,1,2202200,0
France,Nantes,PMI,Regular,Full Flavor,STD,KS,8,125531400,1
Turkey,Dalaman Airport,PMI,Menthol Caps,Full Flavor,STD,KS,6,84945600,0.1
China,Mudanjiang Hailang,PMI,NTD Caps,Full Flavor,STD,KS,1,65000,0
France,Paris Charles De Gaulle,PMI,Regular,Full Flavor,STD,KS,10,3601800000,29.7
Ivory Coast,Abidjan,PMI,Regular,Full Flavor,SLI,KS,3,297411600,48
Italy,Naples,PMI,Regular,Full Flavor,SLI,KS,3,68092800,1.5
Russia,St. Petersburg Pulkovo,PMI,NTD Caps,Full Flavor,STD,KS,1,2827200,0.5
China,Wuhan Tianhe,PMI,Menthol,Full Flavor,STD,KS,2,38219600,0.5
Morocco,Ouarzazate,PMI,Regular,Full Flavor,STD,KS,10,59508400,0.2
Cape Verde,Rabil,PMI,Regular,Full Flavor,SLI,KS,2,515568000,8.8
Brazil,Natal,PMI,Regular,Full Flavor,SLI,KS,3,29324400,0.5
Vietnam,Cam Ranh,PMI,Menthol Caps,Full Flavor,STD,KS,3,34580000,3.2
South Korea,Busan - Kimhae (downtown),PMI,Menthol Caps,Full Flavor,STD,KS,3,120011000,0.7
Chile,Santiago Arturo Merino Benitez,PMI,Regular,Full Flavor,SLI,KS,3,1063551400,42.8
South Korea,Daegu,PMI,Menthol Caps,Full Flavor,STD,KS,4,135150400,0.8
Brazil,Rio de Janeiro,PMI,Menthol Caps,Full Flavor,STD,KS,2,55372000,0.9
Bulgaria,Sofia,PMI,Regular,Full Flavor,STD,KS,5,92070400,76.9
Greece,Karpathos,PMI,Regular,Full Flavor,SLI,KS,3,390200,0
China,Beijing,PMI,Menthol,Full Flavor,STD,KS,2,12550800,0.2
Egypt,Hurgada,PMI,Menthol Caps,Full Flavor,STD,KS,2,97174400,0.3
Japan,Naha,PMI,Menthol,Full Flavor,STD,KS,5,14849400,0.1
Czech Republic,Prague,PMI,Regular,Full Flavor,STD,KS,5,74402400,62.5
China,Yanji Zhaoyangchuan,PMI,Regular,Full Flavor,STD,KS,3,14773200,0.2
Russia,Min Vody,PMI,Regular,Full Flavor,STD,KS,7,7073800,1.3
Brazil,Brasilia,PMI,NTD Caps,Full Flavor,STD,KS,2,2667200,0
Turkey,Izmir Airport,PMI,Regular,Full Flavor,SSL,KS,1,217045800,0.1
China,Hangzhou Xiaoshan,PMI,NTD Caps,Full Flavor,STD,KS,6,241574800,3
Djibouti,Djibouti,PMI,NTD Caps,Full Flavor,STD,KS,1,695400,2.5
Grenada,St. George's Point Saline,PMI,Regular,Full Flavor,SLI,KS,2,12474000,21.9
Lithuania,Kaunas,PMI,Regular,Full Flavor,STD,KS,2,96190800,44.5
Myanmar,Yangon,PMI,Menthol Caps,Full Flavor,STD,KS,2,3268800,10.5
Great Britain,Bournemouth,PMI,Regular,Full Flavor,SLI,KS,2,5971200,0.1
Malaysia,Kuala Lumpur,PMI,Regular,Full Flavor,SLI,KS,1,11827200,1.2
Colombia,Cali,PMI,Regular,Full Flavor,SLI,KS,3,230005783,5.4
South Korea,Daegu,PMI,Regular,Full Flavor,SSL,KS,1,12745600,0.1
China,Xiamen Gaoqi,PMI,Regular,Full Flavor,STD,KS,5,200925080,2.5
Germany,Frankfurt,PMI,Regular,Full Flavor,SLI,KS,3,529168000,16.9
Uganda,Entebbe,PMI,NTD Caps,Full Flavor,STD,KS,1,63459330,11.1
Japan,Ibaraki,PMI,Regular,Full Flavor,STD,KS,4,341800,0
Japan,Ibaraki,PMI,NTD Caps,Full Flavor,STD,KS,3,656200,0
Ireland,Dublin,PMI,Regular,Full Flavor,STD,KS,3,113969000,47.3
Russia,Sochi,PMI,NTD Caps,Full Flavor,STD,KS,1,2439600,0.4
Cape Verde,Praia,PMI,Menthol Caps,Full Flavor,STD,KS,1,5018400,0.1
India,Bangalore,PMI,NTD Caps,Full Flavor,STD,KS,3,160733983,3.4
Iraq,Erbil International Airport,PMI,Regular,Lights,STD,KS,1,272000,0
Brazil,Florianopolis,PMI,Menthol Caps,Full Flavor,STD,KS,2,12131000,0.2
Jamaica,Kingston,PMI,Menthol Caps,Full Flavor,STD,KS,1,12140800,0.8
Spain,Granada,PMI,Regular,Full Flavor,STD,KS,1,5032000,0
Caribbean Other,Antigua,PMI,Menthol,Full Flavor,STD,KS,1,12748032,2.1
Mexico,Huatulco,PMI,Menthol,Full Flavor,STD,KS,2,46731020,0.3
Dominican Republic,Samana El Catey,PMI,Menthol Caps,Full Flavor,STD,KS,1,1443200,0
Russia,Moscow - Vnukovo,PMI,Menthol Caps,Full Flavor,STD,KS,1,16308200,2.9
Italy,Milan - Linate,PMI,Regular,Full Flavor,SLI,KS,3,11666400,0.3
United Arab Emirates,Sharjah,PMI,Regular,Ultralights,STD,KS,1,9622800,0
Australia,Melbourne,PMI,Menthol,Full Flavor,STD,KS,1,321370,1.2
Turkey,Kutahya Airport,PMI,Regular,Full Flavor,SSL,KS,1,2509200,0
Switzerland,Basel,PMI,Menthol Caps,Full Flavor,STD,KS,2,1072800,0.1
Egypt,Marsa Aalam,PMI,,,,,1,532965,0
Denmark,Aarhus,PMI,Regular,1mg,STD,KS,1,39796,0
Turkey,Samsun Airport,PMI,Regular,Lights,STD,KS,1,1124800,0
South Korea,Daegu (downtown),PMI,Menthol Caps,Full Flavor,STD,KS,1,1820000,0
Japan,Iwate,PMI,Regular,Full Flavor,STD,KS,1,114000,0
Bosnia-Herzegovinia,Sarajevo,PMI,NTD Caps,Full Flavor,STD,KS,1,65273488,5.9
Norway,Trondheim,PMI,Regular,Full Flavor,STD,KS,13,12448400,2.1
Egypt,Marsa Aalam,PMI,Regular,Full Flavor,STD,KS,24,1170788872,3.4
Morocco,Essaouira,PMI,Regular,Full Flavor,STD,KS,12,270576600,1
Cameroon,Douala,PMI,Regular,Full Flavor,STD,KS,4,82492800,100
Poland,Warsaw-Modlin,PMI,Regular,Full Flavor,STD,KS,10,536070480,4.5
France,Bordeaux,PMI,Regular,Full Flavor,STD,KS,8,112207600,0.9
Caribbean Other,Port-au-Prince (Haiti),PMI,NTD Caps,Full Flavor,STD,KS,2,7302400,1.2
Great Britain,Cardiff,PMI,Regular,Full Flavor,STD,KS,4,9870000,0.2
Turkey,Dalaman Airport,PMI,Regular,Full Flavor,STD,KS,45,1412633400,0.9
China,Changchun Longjia,PMI,Menthol Caps,Full Flavor,STD,KS,2,7223000,0.1
Mauritania,Nouakchott,PMI,Regular,Full Flavor,STD,KS,9,79825000,100
Turkey,Istanbul Asia Airport,PMI,Menthol Caps,Full Flavor,STD,KS,8,1029996400,0.6
Gibraltar,Gibraltar,PMI,Regular,Full Flavor,STD,KS,7,343612657,99.2
France,Nice,PMI,Regular,Full Flavor,STD,KS,10,329103800,2.7
Iraq,Erbil International Airport,PMI,Regular,Full Flavor,STD,KS,8,75141000,2.1
India,Indira Gandhi,PMI,Regular,Full Flavor,SLI,KS,5,605877923,12.9
Greece,Athens,PMI,Regular,Full Flavor,STD,KS,19,207979400,16.1
Mayotte,Pamandzi,PMI,Regular,Full Flavor,STD,KS,5,519711720,50.1
China,Xuzhou Guanyin,PMI,Menthol Caps,Full Flavor,STD,KS,3,1045400,0
Turkey,Diyarbakir Airport,PMI,Regular,Full Flavor,SLI,KS,7,189007400,0.1
China,Guangzhou Baiyun,PMI,Menthol Caps,Full Flavor,STD,KS,3,594752390,7.4
China,Shanghai Hongqiao,PMI,Menthol Caps,Full Flavor,STD,KS,3,13901886,0.2
Turkey,Dalaman Airport,PMI,NTD Caps,Full Flavor,STD,KS,13,584394200,0.4
Sri Lanka,Bandaranaike,PMI,Regular,Full Flavor,SLI,KS,4,12320093,1.2
Russia,Krasnoyarsk,PMI,Menthol Caps,Full Flavor,STD,KS,1,3314200,0.6
China,Shanghai Hongqiao,PMI,Regular,Full Flavor,STD,KS,6,17649246,0.2
Brazil,Viracopos,PMI,Menthol,Full Flavor,STD,KS,1,3273600,0.1
Turkey,Antalya Gazipasa Airport,PMI,Regular,Full Flavor,SLI,KS,6,21415000,0
Japan,Tokyo - Haneda,PMI,NTD Caps,Full Flavor,STD,KS,8,700330000,5.1
Japan,Shizuoka,PMI,Menthol Caps,Full Flavor,STD,KS,1,2652000,0
Turkey,Cukurova Airport,PMI,Regular,Full Flavor,SLI,KS,7,141188000,0.1
Kuwait,Kuwait,PMI,Regular,Ultralights,STD,KS,1,2144477200,13.3
China,Nanjing Lukou,PMI,NTD Caps,Full Flavor,STD,KS,9,47050581,0.6
Brazil,Brasilia,PMI,Menthol,Full Flavor,STD,KS,1,1619200,0
China,Guangzhou Baiyun,PMI,Regular,Full Flavor,STD,KS,5,2054075680,25.7
Greece,Skiathos,PMI,Regular,Full Flavor,SLI,KS,6,7851600,0.6
Italy,Pisa,PMI,Regular,Full Flavor,STD,KS,10,107250600,2.4
Australia,Brisbane,PMI,NTD Caps,Full Flavor,STD,KS,2,563174,2.2
Greece,Corfu,PMI,Regular,Full Flavor,STD,KS,9,53523200,4.1
Brazil,Porto Alegre,PMI,Regular,Full Flavor,STD,KS,8,4305800,0.1
Great Britain,London Gatwick,PMI,Regular,Full Flavor,STD,KS,4,562883800,10.8
Maldives,Male,PMI,NTD Caps,Full Flavor,STD,KS,5,122058791,19
Great Britain,Norwich,PMI,Regular,Full Flavor,STD,KS,4,3319800,0.1
Japan,Osaka - Kansai,PMI,Menthol Caps,Full Flavor,STD,KS,4,237974800,1.7
Turkey,Istanbul Airport,PMI,NTD Caps,Full Flavor,STD,KS,15,8999686400,5.5
Great Britain,London Southend Airport,PMI,Regular,Full Flavor,SLI,KS,2,4353400,0.1
Caribbean Other,Basseterre (Saint Kitts),PMI,NTD Caps,Full Flavor,STD,KS,2,1256000,0.2
Italy,Torino,PMI,Regular,Full Flavor,SLI,KS,3,7956400,0.2
Poland,Lodz,PMI,Regular,Full Flavor,STD,KS,10,187138400,1.6
United Arab Emirates,Ras El Khaymah,PMI,Regular,Full Flavor,SLI,KS,6,757747200,2.2
Poland,Bydgoszcz,PMI,Regular,Full Flavor,STD,KS,11,312511000,2.6
Taiwan,Everrich Downtown Kinmen,PMI,NTD Caps,Full Flavor,STD,KS,2,2260980,0.2
Mongolia,Ulaanbaatar,PMI,Regular,Full Flavor,STD,KS,4,21665000,100
Aruba,Oranjestad,PMI,NTD Caps,Full Flavor,STD,KS,3,124051800,6.7
Turkey,Antalya Airport,PMI,NTD Caps,Full Flavor,STD,KS,14,3467287600,2.1
Jordan,Amman,PMI,NTD Caps,Full Flavor,STD,KS,6,754606600,9.8
Australia,Brisbane,PMI,Menthol,Full Flavor,STD,KS,1,335370,1.3
Spain,Vigo,PMI,Regular,Full Flavor,SLI,KS,2,2055000,0
Switzerland,Geneva,PMI,Regular,Full Flavor,STD,KS,10,60370280,2.8
Peru,Lima,PMI,Menthol,Full Flavor,STD,KS,1,49561600,2.1
Spain,Murcia,PMI,Regular,Full Flavor,STD,KS,5,213688000,1.8
Egypt,Sharm El Sheikh,PMI,NTD Caps,Full Flavor,STD,KS,6,165837000,0.5
South Africa,Johannesburg,PMI,Regular,Full Flavor,SLI,KS,1,84797015,22.2
Russia,Moscow - Sheremetyevo,PMI,NTD Caps,Full Flavor,STD,KS,1,7797600,1.4
China,Chongqing Jiangbei,PMI,Regular,Full Flavor,STD,KS,6,93057400,1.2
Morocco,Oujda,PMI,Regular,Full Flavor,STD,KS,14,1014638000,3.9
Costa Rica,San Jose,PMI,Regular,Full Flavor,STD,KS,3,11448000,60.7
Oman,Salalah,PMI,Regular,Full Flavor,SLI,KS,7,332864000,8.6
Macedonia,Skopje,PMI,Regular,Full Flavor,SLI,KS,3,756075000,67.7
Netherlands,Rotterdam,PMI,Regular,Full Flavor,SLI,KS,2,11731800,2.4
Malaysia,Johor Bahru,PMI,Regular,Full Flavor,SLI,KS,1,720000,0.1
Laos,Vientiane,PMI,Menthol Caps,Full Flavor,STD,KS,3,32966800,22.6
Aruba,Oranjestad,PMI,Regular,Full Flavor,SLI,KS,3,705312600,37.9
Curazao,Curacao,PMI,NTD Caps,Full Flavor,STD,KS,2,220110400,8.1
Egypt,Cairo,PMI,,,,,2,5648465,0
Israel,Tel-Aviv,PMI,Regular,Lights,STD,KS,2,235207000,7.1
China,Quanzhou,PMI,Regular,Full Flavor,STD,KS,2,1927200,0
Greece,Mykonos,PMI,Regular,Full Flavor,STD,KS,3,27217400,2.1
South Africa,Johannesburg,PMI,Regular,Full Flavor,STD,KS,7,83004929,21.8
Tunisia,Monastir,PMI,NTD Caps,Full Flavor,STD,KS,7,106104000,0.5
Curazao,Curacao,PMI,Regular,Full Flavor,STD,KS,15,1163912200,42.9
Australia,Adelaide,PMI,Menthol Caps,Full Flavor,STD,KS,1,87264,0.3
Denmark,Aarhus,PMI,Regular,Full Flavor,STD,KS,5,726236,0.8
Greece,Mitilini,PMI,Regular,Full Flavor,STD,KS,3,3426000,0.3
Barbados,Bridgetown,PMI,Menthol Caps,Full Flavor,STD,KS,1,4059475,0.6
Mexico,Mexico City,PMI,Regular,Full Flavor,SLI,KS,3,1804549800,11.3
Poland,Lodz,PMI,Regular,Full Flavor,SLI,KS,2,13815000,0.1
Cape Verde,Espargos,PMI,NTD Caps,Full Flavor,STD,KS,3,113589600,1.9
Colombia,Medellin Jose Maria Cordova,PMI,Menthol Caps,Full Flavor,STD,KS,1,2471350,0.1
Nicaragua,Managua,PMI,NTD Caps,Full Flavor,STD,KS,2,22930400,7.4
Ethiopia,Addis Ababa,PMI,NTD Caps,Full Flavor,STD,KS,2,51948000,0.9
Jamaica,Kingston,PMI,Regular,Full Flavor,STD,KS,11,96242520,6
China,Jinan Xiaoqiang,PMI,NTD Caps,Full Flavor,STD,KS,4,10393700,0.1
Greece,Heraklion Airport,PMI,Regular,Lights,STD,KS,1,40800,0
South Korea,Seoul,PMI,Menthol,Full Flavor,STD,KS,1,18356800,0.1
Ecuador,Quito,PMI,Menthol,Full Flavor,STD,KS,2,17130600,0.9
Turkey,Antalya Airport,PMI,Menthol Caps,Full Flavor,STD,KS,8,834298200,0.5
Italy,Genoa,PMI,Regular,Full Flavor,SLI,KS,2,4682400,0.1
Saudi Arabia,RIYADH,PMI,Regular,Full Flavor,STD,KS,6,805602200,19.7
Philippines,Iloilo,PMI,Menthol Caps,Full Flavor,STD,KS,1,100000,0.1
Turkey,Eskisehir Airport,PMI,Regular,Full Flavor,SLI,KS,6,36818200,0
South Korea,Daegu,PMI,Menthol,Full Flavor,STD,KS,1,19173000,0.1
Turkey,Ankara Airport,PMI,Regular,Full Flavor,SSL,KS,1,76456800,0
Poland,Gdansk,PMI,Regular,Full Flavor,SLI,KS,2,314957840,2.7
China,Wenzhou Longwan,PMI,NTD Caps,Full Flavor,STD,KS,2,16985000,0.2
Jamaica,Kingston,PMI,NTD Caps,Full Flavor,STD,KS,1,14263900,0.9
Malaysia,Kota Kinabalu,PMI,Menthol Caps,Full Flavor,STD,KS,2,14011200,1.4
China,Weihai Dashuibo,PMI,Menthol,Full Flavor,STD,KS,1,164000,0
Brazil,Recife,PMI,Menthol Caps,Full Flavor,STD,KS,2,2515400,0
