Location,IATA
Ganja,KVD
Sevilla,SVQ
Las Vegas,LAS
Qingdao Liuting,TAO
Grzechotki,
Chubu,NGO
Mandalay,MDL
Tunis,TUN
Okayama,OKJ
Irkeshtam,
Enfidha,NBE
Manas,FRU
Duesseldorf,
Coimbatore,CJB
Aalborg,
Guernsey,GCI
Tel-Aviv,TLV
Lilongwe,LLW
Elblag,ELB
Mdawara (Saudi border),
Istanbul Asia Airlines,
Chattrapati Shivaji,BOM
Vancouver,YVR
Tivat,TIV
Istanbul Port,
Shannon,SNN
Denizli Cardak Airport,DNZ
St. Maarten Princess Juliana,SXM
Indira Gandhi,DEL
Sheikh Hussein Bridge (Israel border),
St. Petersburg Sea Port,
Bodrum Turgutreis Port,
Natal,NAT
Katakolo Port,
Prague,PRG
Moscow - Vnukovo,VKO
Mazatlan,MZT
Busan - Kimhae,PUS
Tenerife,TFN
Wuhan Tianhe,WUH
Maputo,MPM
Trichy,TRZ
Montpellier,MPL
Seattle,SEA
Mangalore,IXE
Bangalore,BLR
Fortaleza,FOR
Cagliari,
Southampton,SOU
Belarus/Lithuania,
Erbil International Airport,EBL
Bandar Seri Begawan,
Luang Prabang,LPQ
Aleppo,ALP
Haugesund,HAU
Odessa,ODS
Antalya Airport,AYT
Curitiba,CWB
Khost,
Weihai Dashuibo,WEH
St Johns,YYT
Togo,LFW
Adana Airport,ADA
Bandaranaike,CMB
Saarbruecken,SCN
Murcia,MJV
Amritsar,ATQ
Karameh (Iraq border),
Luxembourg,LUX
Taranto,
Brussels,BRU
London Heathrow,LHR
San Salvador Comalapa,SAL
Dar Es Salaam,DAR
St. George's Point Saline,GND
Santa Cruz de Tenerife,
Karup,
Linz,LNZ
Livigno,
Trelleborg,
Adelaide,ADL
Chambery,CMF
East Midlands,EMA
Omsk,OMS
Jinan Xiaoqiang,TNA
Gibraltar,
Bangui,BGF
Dublin,DUB
Stockholm Arlanda,
Medininka,
Tabarka,TBJ
Guayaquil,GYE
Corfu,CFU
Taiyuan Wusu,TYN
Santorini,JTR
Memmingen,FMM
Plovdiv,PDV
Turku,
Nalchik,NAL
Tokyo - Narita,NRT
Batumi,BUS
Omari (Saudi border),
Cologne,
Shekou Port,
Konya Airport,KYA
Cesme Port,
Palanga,PLQ
La Paz Manuel Marquez de Leon,LAP
Taipei - Taoyuan,TPE
Niamey,NIM
Essaouira,ESU
Ulaanbaatar,
Changzhou Benniu,CZX
Quebec City,YQB
Cozumel,CZM
Palermo,
Fiumicino,
Georgia/Azerbaijan,
Marrakech,RAK
Osaka - Kansai,KIX
Kaliningrad (Lithuania Border),
Istanbul Europe Airport,IST
Regina,YQR
Vuosaari,
Monterrey,MTY
Kraljevo,KVO
Montreal,YUL
Jaipur,JAI
Shandong,WEH
Samara,KUF
Victoria,SEZ
Haifa,HFA
Karipur,CCJ
Skiathos,JSI
Cotonou,COO
Almeria,LEI
Moscow - Sheremetyevo,SVO
Yancheng Nanyang,YNZ
Brussels,
Hatay Airport,HTY
Moresby Port,POM
Manama,BAH
London Southend Airport,SEN
Treviso,TSF
Friedrichshafen,FDH
Roscoff,
Limassol Port,
Chongqing Jiangbei,CKG
Gothenburg,GOT
Mactan,CEB
Castellon,CDT
Isparta Airport,ISE
Pierrefond,ZSE
Hurgada,HRG
Samos,SMI
Yonago,YGJ
Muscat,MCT
Huangshan Tunxi,TXN
Irkutsk,IKT
Corfu Port,
Heraklion Airport,HER
Jeju,CJU
Coolangatta,OOL
Yuzhno-Sakhalinsk,UUS
Iloilo,ILO
Humberside,HUY
Luqa,MLA
Queretaro,QRO
Mykonos,JMK
Moscow - Domodedovo,DME
Antalya Airlines,
Toyama,TOY
Durban,DUR
Ioannina,IOA
Merida,MID
Sundsvall,SDL
Kingston,KIN
Mexico City,MEX
Helsingborg,
Dalian Zhoushuizi,DLC
Astana,TSE
Yemen,SAH
Chita,HTA
Exeter,EXT
Cayenne,CAY
Paris Orly,ORY
Kyiv,KBP
Windhoek,WDH
Erfurt,ERF
Belo Horizonte,CNF
PRISTINA,PRN
Madrid,
Ukraine/Moldova,
Mendoza,MDZ
Kunming Wujiaba,KMG
Granada,GRX
Volgograd,VOG
Alexandria,
Bar,
Guatemala City,GUA
Gabon,LBV
Russian/Latvia,
Damietta,
Bydgoszcz,BZG
Rjieka Croatia,
Madeira,FNC
Sharm El Sheikh,SSH
Batumi,
Kharkiv,HRK
Colombo,RML
Turkgozu Turkey Georgia Border,
Kutahya Airport,KZR
Recife,REC
Copenhagen,CPH
Vienna,VIE
Brasilia,BSB
Vilnius,VNO
Chengdu Tianfu,CTU
Quanzhou,JJN
Cukurova Airport,COV
Constantine,CZL
Hamburg,HAM
Ancona,AOI
Rotterdam,RTM
Sharjah - Khaled Port,
Bilbao,BIO
Oslo,OSL
Medina,MED
Malmo,
Ramon,ETM
Savannaket,ZVK
Pasir Gudang,
Krasnoyarsk,KJA
Klagenfurt,KLU
Fes,FEZ
Shymkent,CIT
Odessa Sea Port,
Reus,REU
Karlovy Vary,KLV
Civitavecchia,
Klang Port,
Dubrovnik,DBV
Split Port,
Jonkoping,JKG
George Town,GCM
Singapore - Changi,SIN
Yantai Penglai,YNT
Phoenix,PHX
Aktau,SCO
Catania,
Fethiye Port,
Conakry,CKY
Marka,ADJ
London Gatwick,LGW
Oita,OIT
St. Petersburg Pulkovo,LED
Novosibirsk,OVB
Hyderabad,HYD
Alesund,AES
Antigua,ANU
Khorfakan Port,
Diyarbakir Airport,DIY
Minsk,MSQ
Kayseri Airport,ASR
Moi,MBA
Chania,CHQ
Ushuaia,USH
Fukushima,FKS
Hamzabeyli Turkey Bulgaria Border,
Luxor,LXR
Paramaribo,PBM
SDK (Azerbaijan-Russia Border),
Najaf,NJF
Pamandzi,DZA
Toulouse,TLS
Fort-de-France,FDF
Kalmar,KLR
Aqaba (Israel border),
Skelleftea,SFT
Djibouti,JIB
Thiruvananthapuram,TRV
Johannesburg,JNB
Lavorishki,
Kota Kinabalu,BKI
Cardiff,CWL
Santiago Arturo Merino Benitez,SCL
Gibraltar,GIB
Mongolia/China,
Ostrava,OSR
Sharjah,
Umea,UME
Lahore,LHE
Eskisehir Airport,AOE
Piraeus,
Radom,WAW
Armenia - Iran,
Kelowna,YLW
Santorini Port,
Armenia - Georgia,
London Luton,LTN
Baghdad,
Cork,ORK
Valencia,VLC
Graz,GRZ
Barcelona,
Ibaraki,IBR
Lisbon,
Rome Fiumicino,FCO
Greece/Turkey,
Douala,DLA
Antananarivo,
Banja Luka,BNX
Faroe Islands,FAE
Mombasa,MBA
Florence,FLR
San Jose,SJC
Quito,UIO
Genoa,GOA
Pune,PNQ
Alicante,
Gothenburg,
Kuwait,KWI
Hannover,HAJ
Valencia,
Basseterre (Saint Kitts),SKB
Bangkok Airport,BKK
Marmaris Port,
London City,LCY
Akjol,
Dalaman Airlines,
Fukuoka,FUK
Luanda,
La Rochelle,LRH
Beijing Daxing,PEK
Brno,BRQ
Hiroshima,HIJ
Puerto Plata,POP
Georgia/Turkey,
Kinshasa,FIH
Wellington,WLG
Winnipeg,YWG
Motril,
Harstad,EVE
Baghdad,BGW
Turkestan,HSA
Fujairah Port,
Wroclaw,WRO
Ras El Khaymah,RKT
Georgia/Armenia,
Torugart,
Lisbon,LIS
Naha,OKA
San Sebastian,EAS
Kusadasi Port,
Nanning Wuxu,NNG
Edinburgh,EDI
Almaty,ALA
Split,SPU
Kavala,KVA
Santiago Cibao,STI
Florianopolis,FLN
Beijing,PEK
La Ceiba Goloson,LCE
Ho Chi Minh,SGN
Miyazaki,KMI
Pazarkule Turkey Greece Border,
Astrakhan,ASF
Cheongju,CJJ
Warsaw,WAW
Kaliningrad (Poland Border),
Ulaanbaatar,ULN
Strasbourg,SXB
Fuerteventura,FUE
Hrabrovo,KGD
Russia/Ukraine,
Paris Vatry ,XCR
Mariehamn,MHQ
Dresden,DRS
Izmir Port,
Ravenna,
Nanjing Lukou,NKG
Samsun Port,
Teesside,MME
Vladivostok,VVO
Torino,TRN
Nantes,NTE
Rijeka,RJK
Banjul,BJL
Rhodes,RHO
Habur  Turkey Iraq Border,
Vaxjo,VXO
Kilimanjaro,JRO
Podgorica,TGD
Ankara Airlines,
Ottawa,YOW
Krasnodar,KRR
Cadiz,
Kigali,KGL
Nanchang Changbei,KHN
Rhodes Port,
Greena,
Almeria,
Cape Town,CPT
Varberg,
Copenhagen,
Kaunas,KUN
Melbourne,MEL
Greece/Albania,
Stavanger,SVG
Samsun Airport,SZF
London City,
Soekarno Hatta,CGK
Belgrade,
Stockholm Arlanda,ARN
Arkhangelsk,ARH
Samos Port,
Mariehamn,
Ayvalik Port,
Kos Port,
Rio de Janeiro,GIG
Al Hoceima,AHU
Faro Airport,FAO
Karlskrona,
Mahe,
Kano,KAN
Darwin,DRW
Bari,BRI
Tampere-Pirkkala,TMP
Frankfurt,
La Goulette Port,
Bujumbura,BJM
Baltijsk,
Tianjin Binhai,TSN
Kuala Lumpur,
Malaga,
Calgary,YYC
Takamatsu,TAK
Puerto Vallarta,PVR
Shenzhen Bao'an,SZX
Rabat,RBA
Bristol,BRS
Ovda Eilat,VDA
Montevideo,MVD
Thessaloniki,
Ukraine/Hungary,
Santiago De Compostela,SCQ
Chitose,CTS
Nis,INI
Casablanca,CMN
Abuja,ABV
Jersey,JER
Kralendijk (Bonaire),BON
Salalah,SLL
Kualanamu,KNO
Hairatan,
Perth,PER
Split,
Kumamoto,KMJ
Glasgow Prestwick,PIK
Nagasaki,NGS
Anna,MAA
Rabil,BVC
Derekoy Turkey Bulgaria Border,
Asmara,ASM
Liberia,LIR
Hebei,SJW
Ufa,UFA
Gran Canaria,LPA
Chengdu Shuangliu,CTU
Bari,
Glasgow,GLA
Wenzhou Longwan,WNZ
Nakhichevan,NAJ
Igoumenitsa Port,
Dieppe,
Hokkaido,AKJ
Helsingor,
Marseille,MRS
Kazan,KZN
Viracopos,VCP
Accra,ACC
Khabarovsk,KHV
Kayragach,
Sarp Turkey Georgia Border,
Basrah,BSR
Entebbe,EBB
Male,MLE
Shir Khan,
Yangon,RGN
Cairo,CAI
Turkhem,
Salzburg,SZG
Kalibo,KLO
Hirtshals,
Yiwu,YIW
Taichung,RMQ
Medellin Jose Maria Cordova,MDE
Accra,
Tokyo - Ginza,TYO
Bordeaux,BOD
Houston,IAH
Naantali,
Tuzla,TZL
Athens,ATH
Makhachkala,MCX
Suleymania Airport,ISU
Ukraine/Russia,
Shenyang Taoxian,SHE
Amsterdam - Schiphol,AMS
Zia,DAC
Antananarivo,TNR
Venice,VCE
Zhengzhou Xinzheng,CGO
Russia/Norway,
Dover,
Sanaa,SAH
Shanghai Pudong,PVG
Kherson,KHE
Sanya Fenghuang,SYX
Greece/FYROM,
Thessaloniki,SKG
Symi Port,
Liege Bierset,LGG
Vienna,
Sydney,SYD
Nuernberg,NUE
Mitilini,MJT
Beirut - Rafik Hariri,BEY
Lublin,LUZ
Sofia,SOF
Chernoshevsko,
Naples,
Beijing Capital,PEK
Astara,
Zadar,ZAD
Helsinki-Vantaa,HEL
Hong Kong,HKG
Ukraine/Romania,
Agadir,AGA
Katowice,KTW
Kastelorizo Port,
Clarkfield,
Piombino,
Chicago,ORD
Belarus/Latvia,
Nynashamn,
Saga,HSG
Macau,MFM
Jerez De La Frontera,XRY
Samana El Catey,AZS
Hohhot Baita,HET
Komatsu,KMQ
Helsinki,
Alexandria,ALY
Suez,
La Palma,SPC
Ouarzazate,OZZ
Xian Xianyang,XIY
Chelyabinsk,CEK
Mudanjiang Hailang,MDG
Sendai,SDJ
Oulu,OUL
Ukraine/Slovakia,
Ankara Airport,ESB
Vilnius,
Bodrum Icmeler Port,
Lucknow,LKO
Piarco,POS
Lille,LIL
Russia/China,
Juba,JUB
Leopold Sedar Senghar,DKR
Montego Bay,MBJ
Karlsruhe Baden-Baden,FKB
Zhufeng,INC
Cartagena de Indias,CTG
Queenstown,ZQN
Limassol,
Verona,VRN
Rzeszow,RZE
La Paz El Alto,LPB
Kitakyushu,KKJ
Gaziantep Airport,GZT
Tarbes - Lourdes,LDE
Doha,
Varna,VAR
Santander,SDR
Aqaba,
Trapani,
Catania,CTA
Kos,KGS
Zanzibar,ZNZ
Pula,PUY
Stavropol,STW
Jebel Ali,
Barcelona,BCN
London Stansted,STN
Riga,RIX
Visby,VBY
Bamako,BKO
Hakodate,HKD
Tbilisi,TBS
Sardar Vallabh Bhai Patel,AMD
Ciudad del Este Guarani,AGT
Madrid Barajas,MAD
Amsterdam - Schiphol,
Budapest,BUD
Luanda,LAD
Krakow Balice,KRK
Bergen,BGO
Xiamen Gaoqi,XMN
Ukraine/Poland,
Cordoba,COR
Urumchi Diwobao,URC
Aalborg,AAL
Aberdeen,ABZ
Lulea,LLA
Norrkoping,NRK
Alicante,ALC
Yingsheng,SZX
W. P. Labuan,LBU
Seeb,
Yerevan,EVN
Ronne,
Halmstad,HAD
Rosario,ROS
Danang,DAD
Punta del Este,PDP
Piraeus Port,
Sandefjord,
Ulan-Ude,UUD
Algeciras,
Acapulco,ACA
Venice,
Belgorod,EGO
Aswan,ASW
Kutaisi,KUT
Genoa,
Hangzhou Xiaoshan,HGH
Buenos Aires - Ezeiza,EZE
Malmo,MMX
Basel,BSL
Heraklion Port,
Cam Ranh,CXR
Skadovsk Sea Port,
Kapikule Turkey Bulgaria Border,
Altanbulag FTZ,
Palma De Mallorca,PMI
Bodrum Yalikavak Port,
Belgrade,BEG
Rostov Don,ROV
Yanji Zhaoyangchuan,YNJ
Shanghai Hongqiao,SHA
Turku,TKU
Kuala Lumpur,KUL
Guadalajara,GDL
Surgut,SGC
Vientiane,VTE
RIYADH,RUH
Sierra Leone,FNA
Poti Sea Port,
Niigata,KIJ
Taipei Songshan,TSA
Abidjan,ABJ
Hanoi,HAN
Fujairah,FJR
Saint Lucia,UVF
Ostersund,OSD
Dnipropetrovsk,DNK
Dortmund,DTM
Sharjah,SHJ
Bologna,BLQ
Maastricht - Aachen,MST
Aktio,PVK
Malaga,AGP
Dakhla,VIL
Hahn,HHN
Leipzig,LEJ
USA- Airports,LCG
Tyumen,TJM
Changsha Huanghua,CSX
Palma De Mallorca,
Tallinn (Estonia/Sweden/Finland - ferries,
Moroni,HAH
Duesseldorf,DUS
Auckland,AKL
Vigo,VGO
Tarifa,
Barranquilla,BAQ
Curacao,CUR
Molde,MOL
Chisinau,KIV
Baku,GYD
Hefei Xinqiao,HFE
Fuzhou Changle,FOC
Melilla,
Yangyang,YNY
Bariloche,BRC
Seoul,GMP
Voronezh,VOZ
Dalaman Airport,DLM
Islamqila,
Panama Tocumen,PTY
Mykolayiv,NLV
Tozeur,TOE
Aomori,AOJ
Monastir,MIR
Newcastle,NCL
Ciampino Airport,CIA
Christchurch,CHC
Ekaterinburg,SVX
Cologne,CGN
Dublin,
Katima Mulilo,MPA
Alexandoupolis,AXD
Bromma,BMA
